"dataset_generation_date","ceg_core_id","ceg_code","generation_type","fuel_source","plant_name","plant_state","system_description","unit_number","authorized_power_kw","test_released_power_kw","commercial_released_power_kw","energy_market","test_operation_start_granted_date","test_operation_release_date","test_dispatch_number","commercial_operation_start_granted_date","commercial_operation_release_date","commercial_dispatch_number","commercial_operation_release_year","is_northeast"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","3","4300","4300","4300","Fora do ACR","2024-03-01","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","4","4300","4300","4300","Fora do ACR","2024-03-01","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","5","4300","4300","4300","Fora do ACR","2024-03-08","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","6","4300","4300","4300","Fora do ACR","2024-03-08","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","7","4300","4300","4300","Fora do ACR","2024-03-08","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","8","4300","4300","4300","Fora do ACR","2024-03-08","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44947","EOL.CV.BA.044947-4.1","EOL","E�lica","Aroeira 2","BA","Sistema Interligado Nacional","9","4300","4300","4300","Fora do ACR","2024-03-08","2023-09-15","34102023","2024-04-02","2023-12-20","50212023","2023","True"
"2026-03-20","44948","EOL.CV.BA.044948-2.1","EOL","E�lica","Aroeira 3","BA","Sistema Interligado Nacional","1","4300","4300","4300","Fora do ACR","2024-02-02","2023-09-15","34112023","2024-03-12","2023-12-21","50532023","2023","True"
"2026-03-20","44948","EOL.CV.BA.044948-2.1","EOL","E�lica","Aroeira 3","BA","Sistema Interligado Nacional","10","4300","4300","4300","Fora do ACR","2024-02-09","2023-09-15","34112023","2024-03-12","2023-12-21","50532023","2023","True"
"2026-03-20","44948","EOL.CV.BA.044948-2.1","EOL","E�lica","Aroeira 3","BA","Sistema Interligado Nacional","2","4300","4300","4300","Fora do ACR","2024-02-02","2023-09-15","34112023","2024-03-12","2023-12-21","50532023","2023","True"
"2026-03-20","44948","EOL.CV.BA.044948-2.1","EOL","E�lica","Aroeira 3","BA","Sistema Interligado Nacional","3","4300","4300","4300","Fora do ACR","2024-02-02","2023-09-15","34112023","2024-03-12","2023-12-21","50532023","2023","True"
"2026-03-20","44948","EOL.CV.BA.044948-2.1","EOL","E�lica","Aroeira 3","BA","Sistema Interligado Nacional","4","4300","4300","4300","Fora do ACR","2024-02-02","2023-09-15","34112023","2024-03-12","2023-12-21","50532023","2023","True"
"2026-03-20","44948","EOL.CV.BA.044948-2.1","EOL","E�lica","Aroeira 3","BA","Sistema Interligado Nacional","5","4300","4300","4300","Fora do ACR","2024-02-09","2023-09-15","34112023","2024-03-12","2023-12-21","50532023","2023","True"
